"","score","text"
"113",1,"Social Start Now constructs Marketing Campaigns that exceed expectations. https://t.co/cEVgYVosYq #wsj #nytimes https://t.co/2W8bmrb4qZ"
"114",1,"Social Start Now constructs Marketing Campaigns that exceed expectations. https://t.co/mJxW6EEmn1 #wsj #nytimes https://t.co/pHZozcE4Lr"
"115",1,"Social Start Now constructs Marketing Campaigns that exceed expectations. https://t.co/CHiKdTCqyi #wsj #nytimes https://t.co/vu9HiNiqFR"
"116",1,"Social Start Now constructs Marketing Campaigns that exceed expectations. https://t.co/VGFZiqMIDD #wsj #nytimes https://t.co/15UkxJEuQQ"
"117",1,"Social Start Now constructs Marketing Campaigns that exceed expectations. https://t.co/vmpITRk86R #wsj #nytimes https://t.co/x5iGyAU46v"
"118",1,"Social Start Now constructs Marketing Campaigns that exceed expectations. https://t.co/kgsDN2QMCr #wsj #nytimes https://t.co/CCfqsY9aJW"
"119",-1,"If everyone had to write their set of challenges down on a piece of paper and put them in a hat &amp; randomly draw out https://t.co/oCEcnv9dyQ"
"120",1,"DNA Tattoos Are the Final Frontier of Love - #NewYork Times https://t.co/gaZ8z2nnjO https://t.co/Lv1onT7X3T"
"121",1,"Autographed Eminem ""Revival"" Album Bundles Going For $500 A Pop https://t.co/g6FGp7YJC2 #hiphop #jayz #barclay #hov https://t.co/sQ4nVzCugm"
"122",0,"Winter in Bryant Park w/ grace.olivercastillo #newyork #bryantpark en Bryant Park https://t.co/PD1P8RNDHA"
"123",1,"@osrossbt Hola! I love you #NewYork #clubdenutricionherbalife #herbalifepresident'steam #herbalife24 https://t.co/nUL0gZz66D"
"124",1,"This #job might be a great fit for you: Director of IT - https://t.co/Phi15ZYrtr #IT #NewYork, NY #Hiring"
"125",0,"#Queens #NewYork Get yours in time for #Christmashttps://www.zazzle.com/collections/queens_2_a_tee-1197653813745839 https://t.co/kZaBQKpuE3"
"126",1,"We made it. #NewYork like you always dreamed. -Insta@imdanielvalerio https://t.co/zZZqM2ur1n"
"127",0,"#newrochelle #newyork @ New Rochelle, New York https://t.co/KlNq6elCOk"
"128",2,"@loudibella enjoyed nice lunch chat yesterday. #boxing #NewYork"
"129",0,"Tonight!
#NewYork #metal #music https://t.co/ao4uVe8RQ4"
"130",1,"Local #firefighters out in the snowstorm wishing everyone happy holidays  #LongIsland #NewYork #snowstorm https://t.co/DziKKUr4qH"
"131",1,"The Pour: #Wines That Resound in Memory https://t.co/I4WmPiFJ0b Via @NYTimesCC #NewYork #NYC #Life"
"132",2,"Galerie Richard is pleased to present the work of David RYAN at UNTITLED Miami. #davidryan #untitled #miami https://t.co/6ketBDkUrf"
"133",0,"#nowplaying Harry Connick Jr. - Sleigh Ride #nola #newyork #dallas #atlanta #houston #chicago #losangeles"
"134",0,"Having the full #newyork #offbroadway #saturdaynight w @DebiaseAnthony #NewYorkCity https://t.co/MyEJ1X3xk9"
"135",0,"#NewYork  5 Tips On Budget Travel In The City #FrizeMedia #tourism #travel https://t.co/BkJkZ3uCUT via @Charlesfrize"
"136",0,"If you in #NewYork 
Tonight my team making that movie in Long Island at CELEBS! My Bro https://t.co/z68Uy2HRfv"
"137",1,"See the many improvements, upgrades #NewYorks  #Olympic Regional Development Authority has made this season at . https://t.co/BAY9ZyNGJp"
"138",0,"If you in #NewYork 
Tonight! CHLOES! 
RSVP early! Lets go! djelvisewgmix35  https://t.co/LG3Cfl77CZ"
"139",0,"The underbelly tree #Zummo #christmas #ripeartgallery #artshow #huntington #newyork #longisland https://t.co/SyiGFfDeCT"
"140",-2,"A devil AR15 goes down wind dumb people! #Alien #GreysAnatomy #Nibiru #WeatherWarfare #Luton #London #NewYork https://t.co/rokribFP66"
"141",-1,"BBC ALWAYS FULLY STOCKED https://t.co/YPClFD4S8K #imaxfashions #bbcicecream #bbc #billionaireboysclub #fall #fleece https://t.co/ZtKWWNfbZ4"
"142",0,"#ChrisRock snapped a pic with #Rihanna after his show in #NewYork at #MadisonSquareGarden. https://t.co/peVhoc5qWm"
"143",1,"Hudson River Snowmen Win.   #NewYork"
"144",1,"DNA #Tattoos Are the Final Frontier of Love https://t.co/dNWCruEWvE Via @NYTimesCC #NewYork #NYC #Life"
"145",1,"First snow, love my neighborhood. #LincolnCenter #Holidays #Snow #NYC #UWS #NewYork #snowday https://t.co/nfE7xtLYT6"
"146",0,"Me living in Hong Kong was secretly excited to see snow falling down then...i learnt the connecting flight to DC wa https://t.co/acwSUau12i"
"147",2,"Wonderful Christmas weather in #NewYork   better than in Austria 

#NY1Snow #Benji https://t.co/xLSrUfBl56"
"148",1,"If you're looking for work in #NewYork, NY, check out this #job: https://t.co/5ketpgxhaW #TopTechJobs #IT #Hiring"
"149",1,"Can you recommend anyone for this #job in #NewYork, NY? https://t.co/IuuoOauq9j #veterans #CustomerService #Hiring"
"150",0,"this.  #giancarlostanton #stanton #stantontrade #NYY #Yankees #NewYork #Bronx #BronxBombers #Marlins https://t.co/Q5eCJ0eC4U"
"151",3,"Beautiful vs Gorgeous 
@blauegansnyc 
#running #run #nyc #residence #home #apartment #newyork #luxury #realestate https://t.co/bnoD8daHoK"
"152",-1,"Through Your Own Eyes -""You don't have to live your life covered up with lies. You don't have to see yourself excep https://t.co/Sxl0orHSHJ"
"153",-1,"Through Your Own Eyes -""You don't have to live your life covered up with lies. You don't have to see yourself excep https://t.co/Ig3rMedKnx"
"154",-1,"Through Your Own Eyes -""You don't have to live your life covered up with lies. You don't have to see yourself excep https://t.co/8UktcwJfAU"
"155",-1,"Through Your Own Eyes -""You don't have to live your life covered up with lies. You don't have to see yourself excep https://t.co/gZNxvr67oa"
"156",-1,"Through Your Own Eyes -""You don't have to live your life covered up with lies. You don't have to see yourself excep https://t.co/VTR0UOMCWc"
"157",-1,"Through Your Own Eyes -""You don't have to live your life covered up with lies. You don't have to see yourself excep https://t.co/9VgeQS48DJ"
"158",0,"Escape the Snow!  #brooklyn #fireescapes #firstsnow2017 #prospectleffertsgardens #newyork @ https://t.co/Ufh4EvvZzL"
"159",0,"Song title off our debut album 
#foreveryoung #robin2 #albumlaunch #NewYork #shadesofblue https://t.co/PU13VTtlLG"
"160",0,"Hey New Yorkers, does the snow have you feeling all holly jolly?
Stop by the Milling Room Sunday 5-7 p.m. for festi https://t.co/Sv0OA7fs7T"
"161",0,"Starlin Castro who? Fans giddy over potential deal for Giancarlo  Stanton https://t.co/fn0Fk9lOCe #NewsDay #NewYork https://t.co/CZE5OtjPsj"
"162",3,"Swedish babe Claudia now in #NYC #newyork #nyccompanion #elite #vip #luxury #highclass #sexy https://t.co/TSWY4XtaIb"
"163",0,"Horse and carriage ride #snowing #newyork #centralPark #freezingcold https://t.co/44mW7RK1CA"
"164",0,"28th St Yellow Line Station, NYC - #twanerphotography #nyc #newyorkcity #newyork #subway https://t.co/uRfsZ5XpGh"
"165",0,"Stop spray &amp; pray emailing and start conversations that engage..https://t.co/P4FsEwqNd4  #wsj #nytimes #reuters https://t.co/Bo4xnUje9M"
"166",0,"Stop spray &amp; pray emailing and start conversations that engage..https://t.co/DU4CteUDDT  #wsj #nytimes #reuters https://t.co/SqOXjyAAoU"
"167",0,"Stop spray &amp; pray emailing and start conversations that engage..https://t.co/VFlmTBJptg  #wsj #nytimes #reuters https://t.co/qYfDxgTCro"
"168",0,"Stop spray &amp; pray emailing and start conversations that engage..https://t.co/KbvkGnzwU6  #wsj #nytimes #reuters https://t.co/NF1nvQcbXw"
"169",0,"Stop spray &amp; pray emailing and start conversations that engage..https://t.co/rUaFqqxxy5  #wsj #nytimes #reuters https://t.co/LiwFoAcmFU"
"170",0,"Stop spray &amp; pray emailing and start conversations that engage..https://t.co/BEioqRQO1G  #wsj #nytimes #reuters https://t.co/J42dVcouhs"
"171",0,"Stop spray &amp; pray emailing and start conversations that engage..https://t.co/wgYC8eaCKb  #wsj #nytimes #reuters https://t.co/pe8Wf4Cl96"
"172",0,"Stop spray &amp; pray emailing and start conversations that engage..https://t.co/a3wcK3huIv  #wsj #nytimes #reuters https://t.co/tOortQpyS1"
"173",0,"Stop spray &amp; pray emailing and start conversations that engage..https://t.co/qurteYSrI9  #wsj #nytimes #reuters https://t.co/dL7mMfThAm"
"174",0,"Driving in New York
#driving #newyorkcity #nuevayork #iloveny #nyc #ny #lifestyle #newyork https://t.co/Xbj6Wxvd2a"
"175",1,"Delighted to announce 69 Girdle Ridge Road in Katonah has been #SOLD
Congrats to Dan Ginnel!

#Ginnelrealestate https://t.co/XqtLfOJYYk"
"176",-1,"When you need to sell your house FAST and dont want to wait for lengthy closing processes, you call US! 
-
Call us https://t.co/M4m829vavz"
"177",0,"As of today, December 9, @Delta Shuttle operates out of #LGA Terminal C. If this is your carrier, please contact th https://t.co/iiMfcWqGZO"
"178",-1,"well this past summer the eclipse was watched by many &amp; we ALL got warned about it but unfortunately this woman in https://t.co/1nsXwnrg61"
"179",0,"Hi #NewYork #NY!! Let's Rock https://t.co/tFsBBawNoW #Radio"
"180",1,"5 #Rules for an #EcoFriendly #Baby https://t.co/OWvgdfNsx8

#Cloth #toys are best for #babies! Shop #organic at https://t.co/H3O8Z8YpOh"
"181",1,"#NewYorks  #Olympic Regional Development Authority Continues to Make Improvements at .@WhitefaceMtn, .@GoreMtn, . https://t.co/CSPiZtAnui"
"182",1,"Want to work at Crothall? We're #hiring in #NewYork, NY! Click for details: https://t.co/vzuqAHUEZ3 #FacilitiesMgmt #Job #Jobs"
"183",1,"#911 #NYC #NewYork See the world and make memories and find your Happy Place... life is too short not to experience https://t.co/jPACFtMKtw"
"184",0,"We tried to find Monica and Rachel's apartment. I think we're close... #friends #newyork https://t.co/bZjOPI9WKG"
"185",0,"5 uses for a room divider https://t.co/B8XTTZzntN #BimagoUK #interiors #lifestyle #bedroom #NewYork https://t.co/MyI6S7ay7L"
